item,id_netux,criterio_calificacion,nombre_equipo,estado_informe,codigo_certificado,marca,serie,descripcion,iq,oq,pq,cal,centro_costo,area,ubicacion_fisica,proveedor,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,fecha,dias_vigencia_certificado,torre,pendientes,p_iq,p_oq,p_pq,p_cal,precio_unitario
,,,Congelador ,,2249,Supernordico ,15-0094,Verificación metrologica,,,,,3100.0,Banco de sangre,Sótano de Torre H (Residuos Anahematopatologicos),Ainser,,,,,X,,,,,,,,2023-05-04,-456,Torre H,Pendiente,0,0.0,0.0,0.0,
PENDIENTE CERTIFICADO - 2373 sin sello,,,Congelador ,,187,Helmer,2026354,Calificación metrologica,,,,,3100.0,Banco de sangre,Banco de sangre,Ainser,,,,,,,,X,,,,,2023-08-16,-352,Torre H,Pendiente,0,0.0,0.0,0.0,
,,,Congelador ,,Calificación 2346,Haier,BE02QCE0N00QEH670004,Calificación metrologica,,,,,2301.0,Biología Molecular,Biología molecular,Ainser,,,,,,,X,,,,,,2023-07-19,-380,Torre H,Pendiente,0,0.0,0.0,0.0,
,,,Congelador ,,Calificación 2341,Sanyo,111100803,Verificación metrologica,,,,,5100.0,Cedismed,CONGELADOR PROVEEDOR ,Ainser,,,,,,,X,,,,,,2023-07-06,-393,Sótano,Pendiente,0,0.0,0.0,0.0,
,,,Báscula,,CC 364797,Seca,5876023153517,Calibración metrologica,,,,,,Nutrición,Nutrición Torre E 4 piso,Celsius,,,,,,,,X,,,,,2023-08-08,-360,Torre E,Pendiente,0,0.0,0.0,0.0,200741
,,,Báscula,,CC 364798,Seca,5876256143303,Calibración metrologica,,,,,,Nutrición,Nutrición Torre E 4 piso,Celsius,,,,,,,,X,,,,,2023-08-08,-360,Torre E,Pendiente,0,0.0,0.0,0.0,200741
,,,Báscula,, CC 364800,Seca,B544655310,Calibración metrologica,,,,,,Nutrición,Nutrición Torre E 4 piso,Celsius,,,,,,,,X,,,,,2023-08-08,-360,Torre E,Pendiente,0,0.0,0.0,0.0,200741
,,,Pesa pañal,,CC 3644799,Seca,8856088180271,Calibración metrologica,,,,,5700.0,Laboratorio metrología,Laboratorio de Metrología,Celsius,,,,,,,,X,,,,,2023-08-08,-360,Sótano,Pendiente,0,0.0,0.0,0.0,80296
,,,Tensiometro,,CC 364795,HEINE,500063101,Calibración metrologica,,,,,7406.0,Consulta externa,Torre I Piso 6 C.616,Celsius,,,,,,,,X,,,,,2023-08-08,-360,Torre I,Pendiente,0,0.0,0.0,0.0,64104
,,,Congelador ,,Verificación 2311,ARTIKO,20180362935,Verificación metrologica,,,,,4301.0,Investigaciones,Investigaciones ,Ainser,,,,,,X,,,,,,,2023-06-27,-402,Torre H,Pendiente,0,0.0,0.0,0.0,
PENDIENTE CERTIFICADO sello,,,Congelador ,,2389,CONSERV,20032800834,Calificación metrologica,,,,,4301.0,Investigaciones,Farmacia investigaciones,Ainser,,,,,,,,X,,,,,2023-07-06,-393,Torre H,Pendiente,0,0.0,0.0,0.0,
,,,Congelador ,,Calificacion 2353,VESTFROST,20104430331,Calificación metrologica,,,,,2300.0,Laboratorio Clínico,Ambulatorio Torre H. Toma de muestras pediatria,Ainser,,,,,,,X,,,,,,2023-07-27,-372,Torre A,Pendiente,0,0.0,0.0,0.0,
no muestra vista previa no hay pdf,,,Congelador ,,2363,Challenger,170502-4254130035,Verificación metrologica,,,,,3003.0,Vacunación,Vacunación,Ainser,,,,,,,,X,,,,,2023-08-14,-354,Torre F,Pendiente,0,0.0,0.0,0.0,
,,,Cuarto Frio,,2119,LUNITE HERMETIQUE,08M031709174260700234,Calificación metrologica,,,,,2300.0,Laboratorio Clínico,Laboratorio clinico-Muestras,Ainser,,,,,,,,,,,,X,2022-12-14,-597,Torre A,Pendiente,0,0.0,0.0,0.0,
,,,Cuarto frio,, 2049/2197,Supernordico,13FCK890M,Calificación metrologica,,,,,5100.0,Cedismed,Farmacia,Ainser,,X,,,,,,,,,,,2023-01-07,-573,Sótano,Pendiente,0,0.0,0.0,0.0,
,,,Cuarto Frio,,2039,SUPERNORDICO,08M031903114264500234,Calificación metrologica,,,,,2300.0,Laboratorio Clínico,Laboratorio clinico-Reactivos,Ainser,,,,,,,,,,,,X,2023-01-21,-559,Torre A,Pendiente,0,0.0,0.0,0.0,
,,,Cuarto frio,, 2085/2199,Supernordico,13FCK893M,Calificación metrologica,,,,,5100.0,Cedismed,Farmacia,Ainser,X,,,,,,,,,,,,2023-01-27,-553,Sótano,Pendiente,0,0.0,0.0,0.0,
FUERA DE SERVICIO PENDIENTE,,,Descongelador de plasma,,Verificación 0376,Helmer ,1013436,Verificación metrologica,,,,,3100.0,Banco de sangre,Banco de sangre,Ainser,,,,,,,,,,X,,,2021-10-11,-1026,Torre H,Pendiente,0,0.0,0.0,0.0,
PENDIENTE CERTIFICADO sello,,,Descongelador de plasma,,Verificación 2396,Sahara III,99126143,Verificación metrologica,,,,,3100.0,Banco de sangre,Banco de sangre ,Ainser,,,,,,,,X,,,,,2023-08-16,-352,Torre H,Pendiente,0,0.0,0.0,0.0,
,,,Tensiometro,,CC 364801,HEINE,500063112,Calibración metrologica,,,,,7406.0,Consulta externa,Torre I Piso 6 C. 612,Celsius,,,,,,,,X,,,,,2023-08-08,-360,Torre I,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 364796,HEINE,500063118,Calibración metrologica,,,,,7406.0,Consulta externa,Torre I piso 6 C.610,Celsius,,,,,,,,X,,,,,2023-08-08,-360,Torre I,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 364794,Welch Allyn,50217172300,Calibración metrologica,,,,,3004.0,Neurofisiología,Neurofisiologia,Celsius,,,,,,,,X,,,,,2023-08-08,-360,Torre F,Pendiente,0,0.0,0.0,0.0,64104
,,,Horno,,Verificación 2397,Binder,20170000017690,Verificación metrologica,,,,,2400.0,Patología,Patología,Ainser,,,,,,,,,X,,,,2023-09-11,-326,Torreón,Pendiente,0,0.0,0.0,0.0,
,,,Incubadora,,1999,MEMMERT,D421.0980,Verificación metrologica,,,,,2300.0,Laboratorio Clínico,Microbiologia,Ainser,,,,,,,,,,,X,,2022-11-16,-625,Torre A,Pendiente,0,0.0,0.0,0.0,
sin CO2 para pruebas complementarias,,,Incubadora,,2003,MEMMERT,890036,Verificación metrologica,,,,,2300.0,Laboratorio Clínico,Microbiologia,Ainser,,,,,,,,,,,X,,2022-11-16,-625,Torre A,Pendiente,0,0.0,0.0,0.0,
CO2,,,Incubadora ,,2006,SHELDON,0801097,Verificación metrologica,,,,,2300.0,Laboratorio Clínico,Microbiologia,Ainser,,,,,,,,,,,X,,2022-11-22,-619,Torre A,Pendiente,0,0.0,0.0,0.0,
,,,Incubadora,,2000,THERMO SCIENTIFIC,42227925,Verificación metrologica,,,,,2300.0,Laboratorio Clínico,Microbiologia,Ainser,,,,,,,,,,,X,,2022-11-16,-625,Torre A,Pendiente,0,0.0,0.0,0.0,
,,,Tensiometro,,CC 364793,Welch Allyn,030474154,Calibración metrologica,,,,,1002.0,Neurofisiología,Neurofisiología,Celsius,,,,,,,,X,,,,,2023-08-08,-360,Torre F,Pendiente,0,0.0,0.0,0.0,64104
,,,Báscula,,HM10907-23,SECA,10000000972226,Calibración metrologica,,,,,7412.0,Consulta Externa,Torre I piso 12 C.02,Celsius,,,,,,,X,,,,,,2023-07-28,-371,Torre I,Pendiente,0,0.0,0.0,0.0,200741
,,,Termohigrometro,,CC 361771,Halthen TTH-002,29087,Calibración metrologica,,,,,800.0,UCI neonatal ,uci neonatal carro de paro ,Celsius,,,,,,,X,,,,,,2023-07-04,-395,Torre C,Pendiente,0,0.0,0.0,0.0,105818
,,,Báscula,,CC 358951,Seca,5876102177847,Calibración metrologica,,,,,7408.0,Consulta externa,Torre I piso 8 C.813,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre I,Pendiente,0,0.0,0.0,0.0,200741
,,,Báscula,,CC 358950,SECA,5876023153442,Calibración metrologica,,,,,7408.0,Consulta externa,Torre I piso 8 C.809,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre I,Pendiente,0,0.0,0.0,0.0,200741
,,,Pesa pañal,,CC 357746,SECA,8856252200022,Calibración metrologica,,,,,2005.0,Urgencias Pediátricas,Urgencias Pediátricas ,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre F,Pendiente,0,0.0,0.0,0.0,80296
,,,Pesa bebe,,CC 358956,Seca,5530007522,Calibración metrologica,,,,,200.0,Hospitalización niños,Suite Pediátrica,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre C,Pendiente,0,0.0,0.0,0.0,80296
,,,Pesa bebe,,CC 357748,SECA,5334193084160,Calibración metrologica,,,,,800.0,UCI neonatal ,Uci neonatal ,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre C,Pendiente,0,0.0,0.0,0.0,80296
,,,Pesa pañal,,CC 357747,Trumax,YS163416,Calibración metrologica,,,,,1100.0,Hospitalización Adultos, TAP3,Celsius,,,,,X,,,,,,,,2023-06-29,-400,Torre A,Pendiente,0,0.0,0.0,0.0,80296
,,,Pesa pañal,,CC 358953,Seca,8856001130471,Calibración metrologica,,,,,200.0,Hospitalización niños,Torre C piso 3 C.311,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre C,Pendiente,0,0.0,0.0,0.0,80296
,,,Pesa pañal,,CC 358954,Seca,8856135110015,Calibración metrologica,,,,,200.0,Hospitalización niños,Torre C piso 3 C.308,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre C,Pendiente,0,0.0,0.0,0.0,80296
,,,Pesa pañal,,CC 358955,Seca,10000000788792,Calibración metrologica,,,,,200.0,Hospitalización niños,Torre C piso 3,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre C,Pendiente,0,0.0,0.0,0.0,80296
,,,Pesa pañal,,CC 357749,Seca,8856252200167,Calibración metrologica,,,,,200.0,Hospitalización niños,Torre C piso 3,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre C,Pendiente,0,0.0,0.0,0.0,80296
,,,Tensiometro,,CC 358958,HEINE,500063083,Calibración metrologica,,,,,7408.0,Consulta externa,Torre I piso 8 C.811,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre I,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 358964,GAMMA ,500063087,Calibración metrologica,,,,,7408.0,Consulta externa,Torre I piso 8 C.818,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre I,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 358960,HEINE,500063109,Calibración metrologica,,,,,7408.0,Consulta externa,Torre I piso 8 C.815,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre I,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 358959,HEINE,500063114,Calibración metrologica,,,,,7408.0,Consulta externa,Torre I piso 8 C.809,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre I,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 358961,HEINE,500063126,Calibración metrologica,,,,,7408.0,Consulta externa,Torre I piso 8 C.812,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre I,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 358963,HEINE,500063127,Calibración metrologica,,,,,7408.0,Consulta externa,Torre I piso 8 C.810,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre I,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 358965,Heine,500063128,Calibración metrologica,,,,,7408.0,Consulta externa,Torre I piso 8 C.816,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre I,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 358957,HEINE,500063096,Calibración metrologica,,,,,7408.0,Consulta externa,Torre I piso 8 C.817,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre I,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 358962,HEINE,500063092,Calibración metrologica,,,,,7408.0,Consulta externa ,Torre I piso 8 C.819,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre I,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 357745,Welch Allyn,69611748,Calibración metrologica,,,,,1100.0,Hospitalización Adultos, TAP4,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre A,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 358952,Welch Allyn,50519081401,Calibración metrologica,,,,,2500.0,Medicina Nuclear,Medicina Nuclear THP2,Celsius,,,,,,X,,,,,,,2023-06-29,-400,Torre H,Pendiente,0,0.0,0.0,0.0,64104
100 -1000 µl,,,Micropipeta,,CC 358411,Boeco,Kd557425,Calibración metrologica,,,,,3100.0,Banco de sangre,Banco de sangre ,Celsius,,,,,,X,,,,,,,2023-06-22,-407,Torre H,Pendiente,0,0.0,0.0,0.0,105818
10 -100 µl,,,Micropipeta,,CC 358396,Brand,08b5804,Calibración metrologica,,,,,3100.0,Banco de sangre,Banco de sangre ,Celsius,,,,,,X,,,,,,,2023-06-22,-407,Torre H,Pendiente,0,0.0,0.0,0.0,105818
,,,Báscula,,CC 357635,Health O Meter,402WA03622,Calibración metrologica,,,,,700.0,Hemato-oncología,Hemato-oncología,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre F,Pendiente,0,0.0,0.0,0.0,200741
,,,Báscula,,CC 357627,SECA,5876115148522,Calibración metrologica,,,,,1100.0,Hospitalización Adultos, TAP3,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre A,Pendiente,0,0.0,0.0,0.0,200741
(1000 gr),,,Masas,,MET-LM-CC 20056,-,MF1-05,Calibración metrologica,,,,,4301.0,Central de mezclas,Central de mezclas,Ainser,,,X,,,,,,,,,,2023-03-13,-508,Torre A,Pendiente,0,0.0,0.0,0.0,
(200 gr),,,Masas,,MET-LM-CC 20057,-,MF1-04,Calibración metrologica,,,,,4301.0,Central de mezclas,Central de mezclas,Ainser,,,X,,,,,,,,,,2023-03-13,-508,Torre A,Pendiente,0,0.0,0.0,0.0,
(2000gr),,,Masas,,MET-LM-CC 20181,-,MF1-06,Calibración metrologica,,,,,4301.0,Central de mezclas,Central de mezclas,Ainser,,,,,X,,,,,,,,2023-05-03,-457,Torre A,Pendiente,0,0.0,0.0,0.0,
(50g),,,Masas,,MET-LM-CC 20180,-,MF1-03,Calibración metrologica,,,,,4301.0,Central de mezclas,Central de mezclas,Ainser,,,,,X,,,,,,,,2023-05-03,-457,Torre A,Pendiente,0,0.0,0.0,0.0,
(2000gr),,,Masas,,MET-LM-CC 20233,-,MF1-07,Calibración metrologica,,,,,4301.0,Central de mezclas,Central de mezclas,Ainser,,,,,X,,,,,,,,2023-05-19,-441,Torre A,Pendiente,0,0.0,0.0,0.0,
(50g),,,Masas,,MET-LM-CC 20232,-,MF1-02,Calibración metrologica,,,,,4301.0,Central de mezclas,Central de mezclas,Ainser,,,,,X,,,,,,,,2023-05-19,-441,Torre A,Pendiente,0,0.0,0.0,0.0,
(500 mg),,,Masas,,MET-LM-CC20283,-,MF1-01,Calibración metrologica,,,,,4301.0,Central de mezclas,Central de mezclas,Ainser,,,,,,X,,,,,,,2023-06-09,-420,Torre A,Pendiente,0,0.0,0.0,0.0,
,,,Nevera,,2126,Supernordico,14E-0405,Calificación metrologica,,,,,4301.0,Central de mezclas,Central de mezclas,Ainser,,X,,,,,,,,,,,2023-02-22,-527,Torre A,Pendiente,0,0.0,0.0,0.0,
,,,Báscula,,CC 357623,SECA,5876023153416,Calibración metrologica,,,,,1100.0,Hospitalización Adultos, TAP4,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre A,Pendiente,0,0.0,0.0,0.0,200741
,,,Báscula,,CC 357625,SECA,5876256143298,Calibración metrologica,,,,,1100.0,Hospitalización Adultos, TAP4,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre A,Pendiente,0,0.0,0.0,0.0,200741
,,,Báscula,,CC 357624,SECA,5876023153520,Calibración metrologica,,,,,1100.0,Hospitalización Adultos, TAP4,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre A,Pendiente,0,0.0,0.0,0.0,200741
,,,Báscula,,CC 357633,Seca,5876195159969,Calibración metrologica,,,,,200.0,Hospitalización niños,Suite Pediátrica,Celsius,,,,,,x,,,,,,,2023-06-21,-408,Torre C,Pendiente,0,0.0,0.0,0.0,200741
,,,Báscula,,CC 357634,Seca,5876023153441,Calibración metrologica,,,,,200.0,Hospitalización niños,Suite Pediátrica,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre C,Pendiente,0,0.0,0.0,0.0,200741
,,,Báscula,,CC 357636,SECA,5876285175243,Calibración metrologica,,,,,402.0,UCI C.V Pediátrica,Uci C.V Pediátrica,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre C,Pendiente,0,0.0,0.0,0.0,200741
,,,Nevera,,2146,Supernordico,08-0391,Calificación metrologica,,,,,4301.0,Central de mezclas,Central de mezclas,Ainser,,,X,,,,,,,,,,2023-03-01,-520,Torre A,Pendiente,0,0.0,0.0,0.0,
,,,Báscula,,CC 357637,SECA,5876181162612,Calibración metrologica,,,,,402.0,UCI C.V Pediátrica,Uci C.V Pediátrica,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre C,Pendiente,0,0.0,0.0,0.0,200741
Pendiente,,,Congelador ,,Verificación 0274,Haier,BEOFIBEIT00QEEBL0006,Verificación metrologica,,,,,1000.0,Cirugía,Nevera sangre,Ainser,,,,,,,,,,,,,2019-11-15,-1722,Torre A,Pendiente,0,0.0,0.0,0.0,
,,,Congelador ,,Verificación 2381,BIORED,BIO160173,Verificación metrologica,,,,,4301.0,Cirugía,Farmacia cirugia ,Ainser,,,,,,,,X,,,,,2023-08-26,-342,Torre A,Pendiente,0,0.0,0.0,0.0,
Pendiente,,,Congelador ,,-,BIORED,BIO-C2100464 / BIO-CVPS-15,Calificación metrologica,,,,,4301.0,Cirugía,Farmacia cirugia ,Ainser,,,,,,,,,,,,,2019-11-15,-1722,Torre A,Pendiente,0,0.0,0.0,0.0,
,,,Tensiometro,,CC 357628,TYCOS,9604080286,Calibración metrologica,,,,,1000.0,Cirugía,Cirugía Ambulatoria ,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre A,Pendiente,0,0.0,0.0,0.0,64104
(500g),,,Masas,,MET-LM-CC20354,-,No porta,Calibración metrologica,,,,,3100.0,Banco de sangre,Banco de sangre,Ainser, , , ,,,,X, , , , ,,2023-07-19,-380,Torre H,Pendiente,0,0.0,0.0,0.0,
,,,Báscula,,CC 357632,SECA,5876256143319,Calibración metrologica,,,,,2005.0,Urgencias Pediátricas,Urgencias pediátricas TFP1,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre F,Pendiente,0,0.0,0.0,0.0,200741
,,,Tensiometro,,CC 357629,TYCOS,9401101866,Calibración metrologica,,,,,1100.0,Hospitalización Adultos, TAP3,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre A,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 357631,Welch Allyn,160905101765,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP616,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 357630,Welch Allyn,110728174803,Calibración metrologica,,,,,1300.0,UCI Coronaria,UCI Coronaria,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Báscula,,CC 357626,SECA,10000000705337,Calibración metrologica,,,,,,Hemodinamia,Multipropósito ,Celsius,,,,,,X,,,,,,,2023-06-21,-408,Torre A,Pendiente,0,0.0,0.0,0.0,200741
,,,Tensiometro,,CC 353566,Welch Allyn,110729123843,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera, Hospitalización adultos  TBP506,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353584,Welch Allyn,110801164403,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera, Hospitalización adultos TBP605,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353568,Welch Allyn,110728185931,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos  TBP501,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353585,Welch Allyn,110728165629,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos  TBP610,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353583,Welch Allyn,151028193055,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos  TBP612,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353578,Welch Allyn,110701173157,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos  TBP613,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353570,Welch Allyn,200128165405,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP502,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353572,Welch Allyn,180209073305,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP503,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353571,Welch Allyn,171214141975,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP504,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353565,Welch Allyn,200128172135,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP505,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353567,Welch Allyn,200128165725,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP514,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353569,Welch Allyn,110729082828,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP515,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353573,Welch Allyn,110801083617,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP516,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353575,Welch Allyn,110728172232,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP601,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353577,Welch Allyn,110729133337,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP602,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353582,Welch Allyn,110728165825,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP604,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
Pendiente,,,Nevera,,-,GE,TA04Y04EX / 0708A206340,Verificación metrologica,,,,,1000.0,Cirugía,cuarto de equipos,Ainser,,,,,,,,,,,X,,2019-11-15,-1722,Torre A,Pendiente,0,0.0,0.0,0.0,
,,,Tensiometro,,CC 353580,Welch Allyn,110704094336,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP607,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353579,Welch Allyn,110728204737,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP609,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353581,Welch Allyn,110728180956,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP611,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353576,Welch Allyn,110728221417,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP615,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353574,Welch Allyn,140904184155,Calibración metrologica,,,,,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultoss TBP614,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre B,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353564,Welch Allyn,70903072340,Calibración metrologica,,,,,1200.0,Unidad diagnóstica no invasiva adultos,Unidad diagnostica no invasiva adultos,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre F,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 353586,Heine,500063110,Calibración metrologica,,,,,3004.0,Urgencias Adultos,Extensión Urgencias Consultorio TDP1,Celsius,,,,,,X,,,,,,,2023-06-15,-414,Torre A,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 356815,Welch Allyn,203050696,Calibración metrologica,,,,,1100.0,Hospitalización Suit Carlos Lleras,Hospitalización Suit Carlos Lleras,Celsius,,,,,,X,,,,,,,2023-06-14,-415,Torre D,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 356818,Welch Allyn,70830111131,Calibración metrologica,,,,,1100.0,Hospitalización Suit Carlos Lleras,Hospitalización Suit Carlos Lleras,Celsius,,,,,,X,,,,,,,2023-06-14,-415,Torre D,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 356817,Welch Allyn,70930114930,Calibración metrologica,,,,,1100.0,Hospitalización Suit Carlos Lleras,Hospitalización Suit Carlos Lleras,Celsius,,,,,,X,,,,,,,2023-06-14,-415,Torre D,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 356820,Welch Allyn,70830163111,Calibración metrologica,,,,,1100.0,Hospitalización Suit Carlos Lleras,Hospitalización Suit Carlos Lleras,Celsius,,,,,,X,,,,,,,2023-06-14,-415,Torre D,Pendiente,0,0.0,0.0,0.0,64104
,,,Tensiometro,,CC 356816,Welch Allyn,70908161947,Calibración metrologica,,,,,1100.0,Hospitalización Suit Carlos Lleras,Hospitalización Suit Carlos Lleras,Celsius,,,,,,X,,,,,,,2023-06-14,-415,Torre D,Pendiente,0,0.0,0.0,0.0,64104
